F3,F3_pos,FC5,FC5_pos,AF3,AF3_pos,F7,F7_pos,T7,T7_pos,P7,P7_pos,O1,O1_pos,O2,O2_pos,P8,P8_pos,T8,T8_pos,F8,F8_pos,AF4,AF4_pos,FC6,FC6_pos,F4,F4_pos,Direction
2.39,6,19.11,43,18.94,7,-20.28,0,17.00,45,21.44,8,-2.56,7,-1.56,8,28.72,25,18.06,23,47.72,23,30.00,23,37.50,23,5.17,6,left
17.72,6,25.44,41,61.33,7,21.17,12,19.89,40,33.22,35,30.00,10,46.83,11,43.44,19,53.50,19,42.00,34,19.67,7,33.33,34,36.22,12,stop
76.33,30,36.22,30,41.44,30,36.44,30,78.00,42,37.44,40,52.72,34,69.17,43,51.00,43,52.39,43,37.78,42,63.56,32,64.11,42,62.39,42,forward
7.50,34,8.56,15,-4.94,32,143.94,46,34.28,37,-14.22,38,31.67,28,-2.72,22,6.72,20,1.72,21,-20.94,33,-12.89,32,3.67,34,5.28,31,stop
7.56,35,1.94,19,16.67,36,79.22,20,18.94,7,52.28,46,17.72,25,28.28,19,11.56,19,35.33,3,39.67,35,25.44,36,22.33,3,22.83,26,stop
65.94,34,34.33,14,32.28,14,41.50,14,9.28,40,43.28,14,15.78,16,16.17,32,22.94,14,23.00,4,66.33,14,46.39,35,50.50,14,25.06,14,forward
352.72,43,345.83,46,402.00,39,449.44,46,390.61,46,415.44,46,412.61,46,389.78,46,378.44,46,407.61,46,366.56,39,344.61,39,399.17,39,333.44,43,right
78.72,23,36.28,7,64.11,23,474.28,45,31.17,7,6.61,20,51.44,19,61.33,46,33.83,13,40.72,15,55.00,16,41.89,7,42.33,7,46.00,20,right
4.22,16,2.67,4,29.78,16,136.50,28,16.89,37,7.06,0,22.44,34,12.61,4,30.72,36,19.44,1,24.89,2,24.50,17,14.33,21,9.22,19,left
33.44,17,15.33,17,4.28,6,78.44,17,40.28,20,24.50,46,27.56,19,29.78,16,24.11,16,15.94,16,21.11,20,-16.17,1,29.56,38,31.06,19,stop
