F3,F3_pos,FC5,FC5_pos,AF3,AF3_pos,F7,F7_pos,T7,T7_pos,P7,P7_pos,O1,O1_pos,O2,O2_pos,P8,P8_pos,T8,T8_pos,F8,F8_pos,AF4,AF4_pos,FC6,FC6_pos,F4,F4_pos,Direction
13.11,4,72.22,29,35.78,4,59.89,27,2.61,3,1.72,2,13.61,14,16.44,4,-1.44,11,-15.06,11,-19.61,4,-14.50,3,4.39,4,34.61,43,stop
37.61,43,-1.33,2,35.56,43,77.78,46,37.11,1,32.00,1,28.94,12,17.94,8,24.89,7,13.17,8,49.89,13,47.22,43,16.44,7,24.17,43,right
24.17,33,38.44,0,3.22,0,-13.33,0,15.83,40,33.00,38,45.78,38,48.78,42,43.33,42,36.72,39,-1.72,39,-19.06,0,21.33,40,48.00,43,forward
22.28,32,79.06,46,30.56,32,41.17,32,17.00,32,9.78,10,16.17,11,32.78,9,16.33,7,17.00,10,17.50,11,76.50,32,26.89,10,35.44,21,forward
7.61,0,-25.22,1,38.94,19,42.56,13,15.17,9,11.33,17,29.67,17,24.06,34,10.72,33,12.11,34,15.33,20,42.17,40,30.50,33,-8.50,0,right
45.44,19,150.06,43,84.72,17,80.94,35,33.89,35,17.22,1,20.83,44,23.61,40,33.89,39,25.11,39,74.72,18,93.83,18,43.22,17,3.44,17,right
73.11,26,64.28,46,130.06,28,131.56,25,29.83,8,23.17,2,16.44,7,36.00,16,24.17,17,28.17,14,100.72,29,101.78,30,75.56,30,92.44,30,left
1.50,12,-6.89,25,11.94,12,48.44,12,15.67,9,9.11,8,6.00,9,31.33,9,7.00,8,6.28,8,2.78,8,-11.06,8,5.39,7,0.67,13,right
6.89,8,28.56,34,26.78,43,22.17,42,33.61,34,40.50,42,36.28,39,36.89,4,36.28,4,28.89,43,3.78,43,-29.33,0,29.22,43,67.94,43,right
15.67,19,4.33,16,21.28,42,68.78,36,19.44,18,7.72,9,3.17,9,7.89,10,9.83,10,27.83,19,26.56,20,144.44,46,17.11,19,27.00,42,right
43.61,42,79.17,37,36.56,41,40.89,5,-1.39,27,-2.22,24,30.83,42,41.78,45,20.33,6,65.44,19,26.78,4,-7.50,3,19.89,4,1.72,6,forward
38.17,7,-17.44,0,12.33,25,617.22,45,-209.56,0,47.06,14,45.39,27,19.78,27,792.72,32,-304.33,0,-102.72,0,334.22,46,-5.67,3,1.11,7,stop
30.44,25,80.28,42,15.39,9,12.89,10,15.22,4,53.39,38,75.22,39,41.06,39,3.22,17,58.72,43,23.61,12,34.89,9,38.56,17,37.83,26,right
-23.94,2,186.00,46,-37.11,0,67.67,7,573.39,15,-9.00,2,-0.33,2,7.28,2,6.17,2,6.61,2,-24.94,2,68.72,46,-20.11,0,0.11,46,stop
40.06,44,11.22,28,46.72,44,-5.39,15,51.61,7,41.78,43,32.78,44,24.44,21,30.61,6,55.00,26,85.44,27,95.39,40,52.56,24,57.28,23,left
41.67,10,-47.83,1,50.89,25,108.56,26,29.67,17,20.22,10,26.39,2,37.56,11,31.22,10,43.56,10,61.67,11,46.61,10,48.00,11,43.67,11,right
56.56,38,14.94,1,81.11,37,38.28,27,23.11,15,17.61,0,12.56,37,56.61,38,28.72,32,12.94,7,50.44,38,54.28,38,61.61,38,65.39,38,right
13.72,8,65.39,18,46.06,39,53.50,25,33.39,20,4.89,0,11.50,0,4.33,1,14.17,18,28.89,18,40.06,17,-6.61,8,29.44,20,-3.22,1,forward
45.22,36,-26.00,0,52.78,37,71.50,8,24.33,5,26.89,27,30.56,3,47.78,15,38.11,32,29.78,33,41.28,40,87.61,40,50.44,41,50.33,33,stop
7.22,2,129.72,46,-0.11,15,3.39,46,-1.56,4,11.83,3,2.33,6,-4.61,3,-1.39,22,0.94,19,12.61,15,22.78,15,19.67,19,-0.44,2,forward
57.39,45,-3.22,0,86.22,37,43.72,38,22.94,44,29.61,39,19.11,21,28.78,21,31.78,44,37.44,44,53.33,44,44.94,27,61.39,44,35.61,39,left
6.61,20,-0.22,1,45.78,22,74.83,9,18.06,1,20.50,1,15.78,0,18.89,1,10.72,0,7.56,1,10.94,22,114.89,44,29.44,1,13.00,23,forward
3.17,2,240.89,31,1.89,32,72.61,46,19.67,43,-10.72,20,-11.22,6,11.44,0,2.72,2,17.00,33,35.61,33,-6.44,33,32.72,33,8.83,0,left
35.78,8,-2.56,8,103.78,35,39.28,35,25.11,27,51.00,36,35.67,36,67.06,35,27.00,9,53.56,14,67.83,36,98.22,45,71.83,36,81.72,45,forward
49.00,39,-25.11,3,58.28,38,170.39,39,17.56,33,17.33,25,12.00,45,28.33,26,28.89,37,32.94,25,46.83,38,46.44,38,40.56,39,24.56,16,right
36.33,18,25.50,46,28.44,27,66.56,26,27.39,20,1.67,19,-5.67,42,-7.22,0,-3.72,0,-1.50,0,12.44,18,21.72,18,9.56,19,39.50,46,left
41.22,43,31.28,28,25.72,43,101.06,41,28.28,38,51.50,41,36.00,44,33.11,43,34.00,41,53.61,28,69.39,28,48.83,28,56.00,28,21.94,7,left
25.28,21,-25.33,1,37.06,39,91.83,30,1.28,5,35.89,42,22.22,18,24.33,22,22.22,43,40.61,46,36.39,46,-14.39,1,36.39,46,36.72,42,stop
72.00,39,2.94,38,59.89,20,108.94,46,88.11,45,81.94,46,78.50,43,40.39,10,72.28,45,90.11,45,83.94,45,30.50,46,86.61,46,72.28,40,stop
20.83,42,31.72,30,41.06,29,44.61,30,53.39,31,52.50,46,48.44,45,42.89,17,65.83,17,1359.56,43,189.78,46,79.11,28,92.28,17,91.44,46,stop
9.61,28,266.83,45,28.67,28,16.50,14,-2.72,12,1.39,0,6.94,1,24.22,28,5.39,28,30.06,42,70.39,42,26.22,6,36.39,42,12.44,8,left
87.50,14,107.33,46,23.11,13,37.28,39,4.06,36,12.78,2,19.94,4,-3.67,12,7.50,11,24.33,43,18.61,4,20.89,14,22.61,14,53.06,13,right
14.11,1,82.22,45,35.00,34,44.56,35,16.00,34,29.78,14,21.33,14,24.56,2,14.44,1,21.56,1,37.17,1,5.33,1,19.56,1,2.44,1,left
35.50,46,9.00,5,49.50,46,58.78,15,37.78,14,31.28,42,20.50,15,-14.39,17,15.33,6,36.33,18,46.06,45,65.67,46,48.33,6,58.83,46,left
1.17,32,263.61,37,27.44,32,98.17,18,14.72,10,21.33,36,-1.83,11,22.22,36,12.06,45,-4.94,18,-0.44,36,61.72,45,4.56,17,-0.33,44,forward
30.83,24,-23.39,0,47.33,24,53.83,2,31.00,0,27.67,1,109.06,45,53.83,31,35.44,31,19.28,31,20.67,31,14.11,31,22.22,31,30.44,31,stop
47.28,15,98.61,45,18.56,14,36.67,22,12.61,21,7.72,19,15.67,16,59.22,23,31.72,37,25.44,21,21.83,20,-3.44,2,7.56,20,-0.28,13,left
12.50,5,-16.94,13,20.11,6,5.78,15,23.17,29,4.28,29,12.50,29,10.39,25,34.06,25,43.33,25,27.78,4,18.61,5,16.89,4,2.78,4,left
6.56,13,-41.00,0,20.61,26,41.00,45,27.22,42,28.28,43,24.44,43,18.50,44,21.11,44,31.94,44,40.72,44,11.56,5,27.72,44,21.28,26,forward
84.11,22,180.22,46,90.17,37,86.56,30,65.44,29,63.83,30,56.06,26,59.00,27,43.78,30,54.50,22,49.22,22,9.50,22,68.61,22,30.22,22,right
-4.17,24,135.06,45,11.89,29,73.06,29,-5.39,5,-10.22,6,-12.78,24,-15.00,9,-6.17,24,-1.00,9,9.72,8,46.50,41,8.39,10,-12.83,8,right
52.11,38,59.33,34,-0.72,1,-18.06,6,24.50,37,10.94,12,6.06,44,15.50,40,19.11,14,45.50,44,18.28,43,12.89,1,17.50,13,23.67,1,right
20.89,10,71.11,35,33.89,45,43.56,44,25.22,34,24.94,30,19.61,6,30.28,18,8.67,29,20.39,16,28.50,34,-66.39,2,30.28,17,76.44,38,right
36.67,40,-39.06,2,33.83,46,32.78,46,15.00,43,27.33,24,2.22,10,7.56,3,54.17,45,26.06,44,73.11,46,44.56,46,38.28,44,3.17,11,forward
24.61,17,27.67,35,40.44,40,20.50,36,31.89,32,27.00,32,16.00,13,20.83,43,17.06,31,24.78,43,7.50,14,-6.61,2,37.83,18,71.94,36,forward
56.33,41,63.89,8,30.28,41,28.06,1,19.56,1,43.61,44,44.06,43,36.78,41,26.28,8,7.28,45,15.94,45,51.28,44,40.94,45,46.33,41,stop
1.50,34,32.67,44,45.50,34,47.33,6,14.22,33,13.94,33,26.00,43,34.61,43,26.83,44,25.00,43,36.17,34,47.33,35,14.94,34,1.44,33,forward
4.83,6,28.50,36,44.78,3,27.17,3,8.61,24,18.17,35,1.28,37,27.67,36,-9.17,36,4.06,1,32.78,2,36.11,2,30.06,1,-58.56,0,stop
-5.78,0,522.89,46,14.11,0,39.67,0,-2.11,2,-2.33,5,-1.72,0,-6.22,0,1.33,0,-13.39,0,-12.50,0,14.83,0,-3.44,0,-11.22,0,stop
