F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
70.55,63.56,71.42,61.36,58.26,47.52,72.63,69.09,67.63,69.25,71.30,60.75,69.80,68.79
70.92,70.25,74.38,76.12,54.88,68.73,71.31,71.22,68.86,69.94,73.29,77.64,74.30,72.24
78.05,76.59,76.05,86.63,75.67,77.51,73.09,75.28,75.46,77.45,77.10,76.00,76.48,77.56
71.56,74.57,72.96,77.88,72.80,73.54,72.28,70.05,72.15,71.20,74.19,73.18,73.98,73.36
78.09,92.21,71.85,83.42,72.43,61.50,72.00,66.34,65.36,34.31,61.21,73.72,56.98,75.39
70.55,65.22,70.23,70.98,77.40,65.49,68.40,65.32,65.03,78.97,70.13,72.86,67.15,69.07
