F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
72.79,64.24,77.08,76.91,75.61,74.26,72.49,73.87,76.29,73.98,75.71,73.21,75.21,75.28
99.71,75.23,77.50,72.05,70.41,72.02,72.25,76.00,74.18,76.38,78.86,81.29,76.04,77.33
74.74,73.58,74.39,74.19,73.18,72.82,71.42,73.08,73.18,73.56,77.84,76.03,75.37,76.23
74.41,73.84,79.11,76.57,70.28,71.45,72.32,71.76,66.36,72.01,74.47,78.67,72.96,73.84
73.95,73.74,77.49,76.13,69.13,72.70,72.67,72.42,75.17,72.68,75.32,76.89,73.47,73.80
74.96,77.77,79.73,81.01,73.93,74.88,72.25,78.03,74.88,75.67,78.89,81.17,77.91,77.47
