F3,FC5,AF3,F7,T7,P7,O1,O2,P8,T8,F8,AF4,FC6,F4
73.79,77.66,72.15,75.89,64.79,80.02,71.54,78.73,80.12,78.59,68.23,77.50,79.42,78.81
73.91,72.90,72.97,73.58,73.47,72.46,70.95,71.71,72.47,71.83,74.96,74.04,71.91,72.85
72.22,71.93,73.94,72.54,68.08,72.48,72.29,71.29,71.10,72.50,72.11,72.92,69.95,72.00
73.97,74.48,72.14,73.76,68.57,72.62,72.57,72.19,72.31,71.71,74.12,74.08,73.82,73.37
72.81,73.94,71.99,72.56,81.68,71.74,71.10,74.48,72.44,74.79,77.57,74.32,75.39,73.39
71.44,72.29,73.25,87.45,71.04,72.62,72.63,72.52,72.16,72.78,74.02,73.80,72.89,73.40
